SampName,SampNo,MeasNo,MeasDate,ListDate,Filename,S-DOB,S-Remark,Meas-Rmk,Site,Energy-I-Code,Integr.Time,ControlfileNo,Ctrlf-Name,Sigma,Support,Threshold,Unit,Data-Threshold,S,F.ult,(Tb.F/TF)dist,(Tb.F/TF)prox,E.app,Tb.VM,C.VM,TB.ES,C.ES,Problem_nr,El-Siz-X,El-Siz-Y,El-Siz-Z,Dim-X,Dim-Y,Dim-Z,Pos-X,Pos-Y,Pos-Z,MeasNumSlices,OperatorMeas,OperatorEval,CTDI[mGy],RAW-Dir,RAW-Label,IMA-Dir,IMA-Label,ScannerID
Pilot 1365_femurspine,10778,31711,8/29/2024 11:22,9/4/2024 13:15,V0031542,,,,Custom,E2_Imax,300,B31711,Spine ex-vivo,0.8,1,200,6,6553,11480,-32.2571,1,1,3192.3652,80.7527,0,0.0131,0,33,0.0105,0.0105,0.0105,220,137,49,753,844,164,213,Jane Doe,John Doe,0,DK0:[MICROCT.DATA.00010778.00031711],,DK0:[MICROCT.DATA.00010778.00031711],,5071
Pilot 1365_femurspine,10778,31710,8/29/2024 11:04,9/4/2024 13:16,V0031541,,,,Custom,E2_Imax,300,B31710,Spine ex-vivo,0.8,1,200,6,6553,19034.1,-57.4825,1,1,6062.2476,91.5561,0,0.0135,0,33,0.0105,0.0105,0.0105,223,218,49,753,1011,121,213,Jane Doe,John Doe,0,DK0:[MICROCT.DATA.00010778.00031710],,DK0:[MICROCT.DATA.00010778.00031710],,5071
Pilot 1365_femurspine,10778,31712,8/29/2024 11:41,9/4/2024 13:18,V0031543,,,,Custom,E2_Imax,300,B31712,Spine ex-vivo,0.8,1,200,6,6553,25405.7,-79.0997,1,1,9610.8701,95.1657,0,0.0134,0,33,0.0105,0.0105,0.0105,197,158,48,795,1055,2,51,Jane Doe,John Doe,0,DK0:[MICROCT.DATA.00010778.00031712],,DK0:[MICROCT.DATA.00010778.00031712],,5071
pilot 1367_femurspine,10780,31717,8/29/2024 13:40,9/12/2024 13:54,V0031548,,,,Custom,E2_Imax,300,B31717,Spine ex-vivo,0.8,1,200,6,6553,11921.5,-32.4752,1,1,3685.488,82.8285,0,0.0133,0,33,0.0105,0.0105,0.0105,150,178,49,917,926,164,213,Jane Doe,John Doe,0,DK0:[MICROCT.DATA.00010780.00031717],,DK0:[MICROCT.DATA.00010780.00031717],,5071
pilot 1366_femurspine,10779,31714,8/29/2024 12:34,9/12/2024 13:54,V0031545,,,,Custom,E2_Imax,300,B31714,Spine ex-vivo,0.8,1,200,6,6553,12449,-34.2131,1,1,3700.9409,83.7364,0,0.0133,0,33,0.0105,0.0105,0.0105,162,162,49,813,916,164,213,Jane Doe,John Doe,0,DK0:[MICROCT.DATA.00010779.00031714],,DK0:[MICROCT.DATA.00010779.00031714],,5071
pilot 1368_femurspine,10781,31720,9/3/2024 7:31,9/12/2024 14:28,V0031551,,,,Custom,E2_Imax,300,B31720,Spine ex-vivo,0.8,1,200,6,6553,13844.5,-38.0976,1,1,3990.6716,82.907,0,0.0133,0,33,0.0105,0.0105,0.0105,174,155,49,748,1011,164,213,Jane Doe,John Doe,0,DK0:[MICROCT.DATA.00010781.00031720],,DK0:[MICROCT.DATA.00010781.00031720],,5071
pilot 1369_femurspine,10782,31723,9/3/2024 8:51,9/12/2024 14:37,V0031554,,,,Custom,E2_Imax,300,B31723,Spine ex-vivo,0.8,1,200,6,6553,14381.1,-40.1282,1,1,4038.5652,83.7158,0,0.0133,0,33,0.0105,0.0105,0.0105,186,145,49,825,846,164,213,Jane Doe,John Doe,0,DK0:[MICROCT.DATA.00010782.00031723],,DK0:[MICROCT.DATA.00010782.00031723],,5071
pilot 1366_femurspine,10779,31715,8/29/2024 12:53,9/12/2024 15:02,V0031546,,,,Custom,E2_Imax,300,B31715,Spine ex-vivo,0.8,1,200,6,6553,22832,-70.7212,1,1,9838.4375,95.3099,0,0.0135,0,33,0.0105,0.0105,0.0105,182,141,48,846,1062,2,51,Jane Doe,John Doe,0,DK0:[MICROCT.DATA.00010779.00031715],,DK0:[MICROCT.DATA.00010779.00031715],,5071
pilot 1366_femurspine,10779,31713,8/29/2024 12:16,9/12/2024 15:07,V0031544,,,,Custom,E2_Imax,300,B31713,Spine ex-vivo,0.8,1,200,6,6553,20679.9,-62.0216,1,1,5645.0269,89.3482,0,0.0135,0,33,0.0105,0.0105,0.0105,212,179,49,792,1018,121,213,Jane Doe,John Doe,0,DK0:[MICROCT.DATA.00010779.00031713],,DK0:[MICROCT.DATA.00010779.00031713],,5071
pilot 1370_femurspine,10783,31726,9/3/2024 10:07,9/23/2024 13:48,V0031557,,,,Custom,E2_Imax,300,B31726,Spine ex-vivo,0.8,1,200,6,6553,15404.6,-42.6786,1,1,3905.2412,82.2887,0,0.0133,0,33,0.0105,0.0105,0.0105,136,220,49,999,904,164,213,Jane Doe,John Doe,0,DK0:[MICROCT.DATA.00010783.00031726],,DK0:[MICROCT.DATA.00010783.00031726],,5071
