SampName,SampNo,MeasNo,MeasDate,ListDate,Filename,S-DOB,S-Remark,Meas-Rmk,Site,Energy-I-Code,Integr.Time,ControlfileNo,Ctrlf-Name,Sigma,Support,Threshold,Unit,Data-Threshold,VOX-TV,VOX-BV,VOX-BV/TV,Conn-Dens.,TRI-SMI,DT-Tb.N,DT-Tb.Th,DT-Tb.Sp,DT-Tb.(1/N).SD,DT-Tb.Th.SD,DT-Tb.Sp.SD,Mean1,Mean2,Mean3,Mean4,Mean5,Mean-Units,TRI-TV,TRI-BV,TRI-BV/TV,TRI-BS,TRI-BS/BV,TRI-Tb.N,TRI-Tb.Th,TRI-Tb.Sp,TRI-DA,TRI-|H1|,TRI-|H2|,TRI-|H3|,TRI-H1x,TRI-H1y,TRI-H1z,TRI-H2x,TRI-H2y,TRI-H2z,TRI-H3x,TRI-H3y,TRI-H3z,El-Siz-X,El-Siz-Y,El-Siz-Z,Dim-X,Dim-Y,Dim-Z,Pos-X,Pos-Y,Pos-Z,MeasNumSlices,OperatorMeas,OperatorEval,CTDI[mGy],RAW-Dir,RAW-Label,IMA-Dir,IMA-Label,ScannerID
Pilot 1365_femurspine,10778,31710,8/29/2024 11:04,9/4/2024 12:46,V0031541,,,,Custom,E2_Imax,300,B31710,Spine ex-vivo,0.8,1,220,6,7208,2.5285,0.1372,0.0543,9.8874,3.2274,2.4599,0.062,0.4123,0.1395,0.0204,0.1453,32.9116,~  765.112,-,-,-,[mg HA/ccm],2.4981,0.132,0.0528,5.864,44.4386,1.1737,0.045,0.807,1.5014,0.7453,1.1191,0.7965,0.7104,-0.2172,0.0606,-0.0162,0.2511,1.0904,0.2407,0.7407,-0.167,0.0105,0.0105,0.0105,236,236,99,745,1003,71,213,Jane Doe,John Doe,0,DK0:[MICROCT.DATA.00010778.00031710],,DK0:[MICROCT.DATA.00010778.00031710],,5071
Pilot 1365_femurspine,10778,31711,8/29/2024 11:22,9/4/2024 13:07,V0031542,,,,Custom,E2_Imax,300,B31711,Spine ex-vivo,0.8,1,220,6,7208,2.5293,0.3301,0.1305,62.4678,1.631,3.0971,0.0506,0.3155,0.1381,0.014,0.1416,86.6292,~  744.604,-,-,-,[mg HA/ccm],2.4854,0.32,0.1287,14.9528,46.7323,3.0081,0.0428,0.2896,1.8327,0.2735,0.5013,0.3112,0.2245,-0.1556,0.0133,-0.0212,-0.0729,-0.4955,0.1772,0.2519,-0.0446,0.0105,0.0105,0.0105,220,152,199,759,838,14,213,Jane Doe,John Doe,0,DK0:[MICROCT.DATA.00010778.00031711],,DK0:[MICROCT.DATA.00010778.00031711],,5071
pilot 1366_femurspine,10779,31714,8/29/2024 12:34,9/12/2024 12:53,V0031545,,,,Custom,E2_Imax,300,B31714,Spine ex-vivo,0.8,1,220,6,7208,0.2203,0.0482,0.2188,174.7516,0.9869,14.227,0.0467,0.111,!    0.036,0.0143,!    0.033,161.7811,~  744.406,-,-,-,[mg HA/ccm],0.2166,0.0453,0.209,2.0211,44.6453,4.6665,0.0448,0.1695,1.733,0.1749,0.3031,0.2092,0.121,-0.1242,-0.0224,-0.019,-0.0714,0.2939,0.1504,0.1387,0.0434,0.0105,0.0105,0.0105,168,164,19,805,913,14,213,Jane Doe,John Doe,0,DK0:[MICROCT.DATA.00010779.00031714],,DK0:[MICROCT.DATA.00010779.00031714],,5071
pilot 1367_femurspine,10780,31717,8/29/2024 13:40,9/12/2024 13:22,V0031548,,,,Custom,E2_Imax,300,B31717,Spine ex-vivo,0.8,1,220,6,7208,2.1027,0.3042,0.1447,31.6266,0.9893,2.5507,0.0604,0.3983,0.1617,0.0182,0.1573,91.5247,~  794.750,-,-,-,[mg HA/ccm],2.0628,0.298,0.1445,11.0125,36.9498,2.6693,0.0541,0.3205,1.7762,0.3084,0.5478,0.3555,0.3023,0.0501,0.0345,-0.069,0.0432,0.5417,-0.054,0.3497,-0.0348,0.0105,0.0105,0.0105,180,216,199,906,909,14,213,Jane Doe,John Doe,0,DK0:[MICROCT.DATA.00010780.00031717],,DK0:[MICROCT.DATA.00010780.00031717],,5071
pilot 1368_femurspine,10781,31720,9/3/2024 7:31,9/12/2024 14:14,V0031551,,,,Custom,E2_Imax,300,B31720,Spine ex-vivo,0.8,1,220,6,7208,2.4907,0.4995,0.2006,100.1721,0.5385,3.3113,0.0574,0.3034,0.1398,0.018,0.1423,150.7332,~  749.897,-,-,-,[mg HA/ccm],2.4484,0.4933,0.2015,19.1885,38.8981,3.9186,0.0514,0.2038,1.6979,0.2161,0.3669,0.236,-0.1697,-0.1333,-0.0111,0.0121,-0.0456,0.3639,-0.1459,0.1834,0.0278,0.0105,0.0105,0.0105,196,176,199,729,1001,14,213,Jane Doe,John Doe,0,DK0:[MICROCT.DATA.00010781.00031720],,DK0:[MICROCT.DATA.00010781.00031720],,5071
pilot 1369_femurspine,10782,31723,9/3/2024 8:51,9/12/2024 14:23,V0031554,,,,Custom,E2_Imax,300,B31723,Spine ex-vivo,0.8,1,220,6,7208,2.7297,0.6249,0.2289,106.7902,0.621,4.0468,0.0603,0.2357,0.0945,0.0198,0.0916,176.269,~  756.975,-,-,-,[mg HA/ccm],2.6861,0.6217,0.2315,23.739,38.1811,4.4189,0.0524,0.1739,1.9193,0.1842,0.3535,0.2113,-0.1787,-0.0446,0.0042,0.007,-0.0608,-0.3482,-0.0512,0.2018,-0.0363,0.0105,0.0105,0.0105,220,184,199,814,822,14,213,Jane Doe,John Doe,0,DK0:[MICROCT.DATA.00010782.00031723],,DK0:[MICROCT.DATA.00010782.00031723],,5071
pilot 1366_femurspine,10779,31713,8/29/2024 12:16,9/12/2024 14:41,V0031544,,,,Custom,E2_Imax,300,B31713,Spine ex-vivo,0.8,1,220,6,7208,1.5992,0.0714,0.0447,12.1932,3.7246,2.6656,0.0593,0.3709,0.1082,0.0257,0.1066,46.8702,~  772.257,-,-,-,[mg HA/ccm],1.5749,0.0663,0.0421,3.7267,56.1822,1.1832,0.0356,0.8096,1.286,0.7434,0.956,0.8725,-0.2216,-0.6763,0.2148,0.47,0.1081,0.8254,-0.7139,0.3486,0.3608,0.0105,0.0105,0.0105,248,212,99,772,1001,71,213,Jane Doe,John Doe,0,DK0:[MICROCT.DATA.00010779.00031713],,DK0:[MICROCT.DATA.00010779.00031713],,5071
pilot 1370_femurspine,10783,31726,9/3/2024 10:07,9/17/2024 17:24,V0031557,,,,Custom,E2_Imax,300,B31726,Spine ex-vivo,0.8,1,220,6,7208,2.4661,0.5262,0.2134,131.7865,0.9236,3.5477,0.0688,0.2896,0.1419,0.0432,0.1402,154.9671,730.7122,-,-,-,[mg HA/ccm],2.4209,0.5173,0.2137,19.6848,38.0521,4.0656,0.0526,0.1934,1.5512,0.2184,0.3388,0.2208,-0.1742,-0.1312,-0.0117,0.0005,-0.0306,0.3374,-0.133,0.1755,0.0161,0.0105,0.0105,0.0105,160,232,199,987,888,14,213,Jane Doe,John Doe,0,DK0:[MICROCT.DATA.00010783.00031726],,DK0:[MICROCT.DATA.00010783.00031726],,5071
pilot 1371_femurspine,10784,31729,9/3/2024 11:12,9/17/2024 17:26,V0031560,,,,Custom,E2_Imax,300,B31729,Spine ex-vivo,0.8,1,220,6,7208,2.4327,0.4088,0.168,77.4865,1.0296,3.2767,0.056,0.3047,0.1096,0.0213,0.1029,129.696,~  733.358,-,-,-,[mg HA/ccm],2.3865,0.4005,0.1678,16.4336,41.0313,3.443,0.0487,0.2417,1.5474,0.2543,0.3935,0.2668,0.2105,-0.1421,-0.0135,0.0577,0.0486,0.3862,0.1446,0.2188,-0.0491,0.0105,0.0105,0.0105,200,216,199,675,873,14,213,Jane Doe,John Doe,0,DK0:[MICROCT.DATA.00010784.00031729],,DK0:[MICROCT.DATA.00010784.00031729],,5071
pilot 1372_femurspine,10785,31732,9/3/2024 12:18,9/17/2024 17:28,V0031563,,,,Custom,E2_Imax,300,B31732,Spine ex-vivo,0.8,1,220,6,7208,2.4535,0.4033,0.1644,48.9091,0.761,2.3115,0.061,0.4506,0.2409,0.0182,0.2443,110.6434,~  786.679,-,-,-,[mg HA/ccm],2.4102,0.3971,0.1647,14.4328,36.3473,2.994,0.055,0.279,1.8511,0.2737,0.5066,0.3136,-0.1132,-0.2472,0.0313,0.0617,-0.0908,-0.4946,-0.283,0.1223,-0.0577,0.0105,0.0105,0.0105,188,172,199,773,898,14,213,Jane Doe,John Doe,0,DK0:[MICROCT.DATA.00010785.00031732],,DK0:[MICROCT.DATA.00010785.00031732],,5071
